session_id,label,f1,f2,f3,f4,f5,roll,pitch,yaw,gx,gy,gz
pronoun1,We,363,231,0,0,30,6504,13512,6640,-653,1564,2238
pronoun1,We,379,169,16,0,0,7136,14096,6492,1253,1765,1979
pronoun1,We,388,183,12,0,15,6780,13880,6772,-596,2057,1026
pronoun1,We,405,173,10,0,4,6520,13808,7628,-26,-6,664
pronoun1,We,418,180,2,0,27,6872,13044,6708,-427,-592,-220
pronoun1,We,411,191,24,0,19,6148,13464,7032,-882,-2381,-1570
pronoun1,We,387,211,27,0,33,6560,13628,6064,1047,-3530,-1341
pronoun1,We,341,165,23,0,10,6584,13920,5732,-168,-3194,-2081
pronoun1,We,295,140,0,0,23,6476,14528,4960,-89,-2216,-2275
pronoun1,We,313,136,0,0,12,6444,15100,4912,247,-795,-1376
pronoun1,We,304,135,16,0,0,6400,15768,4580,36,1390,897
pronoun1,We,405,144,15,0,6,6248,14908,5240,-964,3555,2258
pronoun1,We,403,201,4,0,14,5976,13724,6056,-688,3642,2295
pronoun1,We,431,192,0,0,29,5996,14464,6596,-114,2126,2167
pronoun1,We,402,195,0,0,39,6516,13592,6176,547,1567,1886
pronoun1,We,352,160,0,0,45,6160,13708,6940,-794,700,629
pronoun1,We,362,187,5,0,16,6028,13656,7616,-1036,-2383,-432
pronoun1,We,351,144,10,0,23,6588,13264,7096,-747,-4249,-1490
pronoun1,We,372,199,38,0,27,6632,13492,6464,-3036,-4298,-2189
pronoun1,We,381,219,0,0,13,6284,14636,5568,-595,-3799,-2520
pronoun1,We,384,237,0,0,10,6460,14584,4848,-152,-3439,-1115
pronoun1,We,363,239,8,0,16,7052,16472,4648,1203,-325,1759
pronoun1,We,416,228,42,0,30,6792,14800,5324,-1356,2300,1436
pronoun1,We,419,240,29,0,8,6788,13856,5644,-375,3985,1813
pronoun1,We,378,234,31,0,16,6304,14252,6176,-81,4862,2054
pronoun1,We,297,207,17,0,0,6592,13504,6764,515,4010,2888
pronoun1,We,305,214,18,0,0,6712,13588,7552,141,2882,2425
pronoun1,We,298,220,0,0,1,6480,13312,8196,681,1972,952
pronoun1,We,301,218,47,0,18,5612,12836,8676,-1740,-1697,453
pronoun1,We,330,202,7,0,30,6464,12692,7364,-453,-5261,-404
pronoun1,We,304,233,25,0,37,7684,12364,5816,953,-6354,274
pronoun1,We,295,224,1,0,48,8068,13860,5652,-650,-4404,-818
pronoun1,We,322,229,47,0,57,8004,13168,5020,2310,-2530,-1219
